"Designator","Mid X","Mid Y","Rotation","Layer"
"D1","41.3375","-32.265625","270","bottom"
"D10","212.7875","-32.265625","270","bottom"
"D11","43.71875","-51.315625","270","bottom"
"D12","65.15","-51.315625","270","bottom"
"D13","84.2","-51.315625","270","bottom"
"D14","103.25","-51.315625","270","bottom"
"D15","122.3","-51.315625","270","bottom"
"D16","141.35","-51.315625","270","bottom"
"D17","160.4","-51.315625","270","bottom"
"D18","179.45","-51.315625","270","bottom"
"D19","198.5","-51.315625","270","bottom"
"D2","60.3875","-32.265625","270","bottom"
"D20","48.48125","-70.365625","270","bottom"
"D21","74.675","-70.365625","270","bottom"
"D22","93.725","-70.365625","270","bottom"
"D23","112.775","-70.365625","270","bottom"
"D24","131.825","-62.815625","270","bottom"
"D25","150.875","-70.365625","270","bottom"
"D26","169.925","-70.365625","270","bottom"
"D27","188.975","-70.365625","270","bottom"
"D28","208.025","-70.365625","270","bottom"
"D29","220.6","-29.625625","90","bottom"
"D3","79.4375","-32.265625","270","bottom"
"D30","53.2375","-108.715625","180","bottom"
"D31","65.3275","-105.315625","0","bottom"
"D32","93.725","-119.578125","270","bottom"
"D33","172.8175","-119.578125","270","bottom"
"D34","206.4975","-106.115625","180","bottom"
"D35","214.3075","-108.475625","0","bottom"
"D36","200.6875","-51.345625","270","bottom"
"D37","234.1575","-70.365625","270","bottom"
"D38","96.3675","-119.578125","270","bottom"
"D39","170.3775","-119.578125","270","bottom"
"D4","98.4875","-32.265625","270","bottom"
"D5","117.5375","-32.265625","270","bottom"
"D6","139.2475","-32.265625","270","bottom"
"D7","155.6375","-32.265625","270","bottom"
"D8","174.6875","-32.265625","270","bottom"
"D9","193.7375","-32.265625","270","bottom"
